Date,AAPL_Return,GOOGL_Return
2022-09-28,-0.012732172189517391,0.025817739489272563
2022-09-29,-0.05036657263400577,-0.026638599574244515
2022-09-30,-0.03049983475359047,-0.01833586802347298
2022-10-03,0.03028928540568914,0.030781200734831468
2022-10-04,0.02530031085791026,0.029960223256548606
2022-10-05,0.002051214674816822,-0.0020681662431215777
2022-10-06,-0.006647601289178592,-9.870965477623816e-05
2022-10-07,-0.03740989755262933,-0.027387909387242438
2022-10-10,0.0023529785766604264,-0.008344434219265992
2022-10-11,-0.010308038056453637,-0.0069729673461682
2022-10-12,-0.0046155804872905805,0.0039026941449752934
2022-10-13,0.0330603842989651,0.015258037019278083
2022-10-14,-0.032771285549167056,-0.025561086015941283
2022-10-17,0.028706785467035322,0.034705578428659734
2022-10-18,0.00936544213947902,0.007970500526904067
2022-10-19,0.0007648921556778367,-0.011377361019955252
2022-10-20,-0.0032723622705536056,0.0034068604930510664
2022-10-21,0.02669956282561011,0.011536671778897513
2022-10-24,0.014693985390812628,0.013651144596151906
2022-10-25,0.019153064738792434,0.018937709010670052
2022-10-26,-0.01982224857994833,-0.09585583954440993
2022-10-27,-0.030939228473898298,-0.028962833925808066
2022-10-28,0.07283459795804494,0.04318746808453075
2022-10-31,-0.015530356367578761,-0.01865881956649353
2022-11-01,-0.017698613779725095,-0.043687407047095346
2022-11-02,-0.03801831530526955,-0.03945497204532794
2022-11-03,-0.043330338809810486,-0.041555355700157434
2022-11-04,-0.0019493205283841323,0.03706095300985498
2022-11-07,0.003894737482006066,0.02182076788911587
2022-11-08,0.004166372381920831,0.00462252042635213
2022-11-09,-0.033753450652107456,-0.017932666178747073
2022-11-10,0.08523658124101796,0.07307683612823541
2022-11-11,0.019085632087845972,0.025953697925879794
2022-11-14,-0.009531168606029285,-0.007391766359598154
2022-11-15,0.011799581733493526,0.028228972307084866
2022-11-16,-0.008365962092845873,0.004156260739300039
2022-11-17,0.012888126287510506,-0.004969279301523158
2022-11-18,0.003774490879023357,-0.009500128575180412
2022-11-21,-0.021918531389967213,-0.018961316977617715
2022-11-22,0.014554568219939343,0.015053483773959243
2022-11-23,0.005908969682889499,0.014424131742463916
2022-11-25,-0.019788269188884294,-0.010208310615948152
2022-11-28,-0.026615118211199582,-0.014573135728752224
2022-11-29,-0.021375348167535828,-0.008993948895763045
2022-11-30,0.04745014190299121,0.05914650124677944
2022-12-01,0.0018898077198023085,0.0
2022-12-02,-0.003376972189041107,-0.005460923303604995
2022-12-05,-0.00801508193221856,-0.009603961295215107
2022-12-06,-0.025697457162451493,-0.025451781783720435
2022-12-07,-0.013880894864139424,-0.021259689776076816
2022-12-08,0.012059859374304184,-0.01304033253664267
2022-12-09,-0.003440941562362963,-0.009434918122779896
2022-12-12,0.016257025183823583,0.0051573211562102985
2022-12-13,0.006759885271906272,0.024559366548932395
2022-12-14,-0.015658000280810404,-0.005873030036049497
2022-12-15,-0.04798764961357071,-0.04529364208154755
2022-12-16,-0.014685874251773206,-0.006625465689368263
2022-12-19,-0.01603749796482188,-0.020370127220296002
2022-12-20,-0.0005291012820464569,0.006536705066842771
2022-12-21,0.023530529970872804,0.006271097403034527
2022-12-22,-0.02405967787421974,-0.020526267191448587
2022-12-23,-0.002802003623835573,0.016611399354417144
2022-12-27,-0.013975622084920298,-0.020836365817342876
2022-12-28,-0.031165904943411503,-0.015801012765552687
2022-12-29,0.027930625297418674,0.0278575533514467
2022-12-30,0.0024657258162044094,-0.0024902374775079643
2023-01-03,-0.03812217529233643,0.010036646149044662
2023-01-04,0.010261545912685603,-0.011738347047100852
2023-01-05,-0.010661323161167401,-0.02157523805069745
2023-01-06,0.036133398806127016,0.013138273066438012
2023-01-09,0.004080672516928459,0.007755438139303381
2023-01-10,0.00444625841880555,0.004534185326265089
2023-01-11,0.020892737794425808,0.03445927129187007
2023-01-12,-0.0005996348237139595,-0.0042703140268985414
2023-01-13,0.010068125336663134,0.010804945364191148
2023-01-17,0.008718232090147564,-0.0090507289590272
2023-01-18,-0.005384324656396352,-0.0018639151081961626
2023-01-19,0.0004437736676496247,0.02095963909477241
2023-01-20,0.019038180879171012,0.052034458804333265
2023-01-23,0.023228607440927185,0.017896550682402645
2023-01-24,0.010012717674760087,-0.02116649466106241
2023-01-25,-0.004711798591625301,-0.025711566357218153
2023-01-26,0.014694953891478407,0.023867468874903156
2023-01-27,0.01359145760083371,0.01879281775429321
2023-01-30,-0.020282367898721124,-0.02475799101510692
2023-01-31,0.008980342481987895,0.019410085209792673
2023-02-01,0.007869776785463587,0.015958598061850217
2023-02-02,0.036392291511947505,0.07025985676843921
2023-02-03,0.02410706263459351,-0.027857928114303005
2023-02-06,-0.01809144114943901,-0.018105281563284368
2023-02-07,0.01906180236979127,0.04503474875489719
2023-02-08,-0.017810536974247608,-0.07994208810228502
2023-02-09,-0.006935434995108588,-0.04486804844268648
2023-02-10,0.002453152639740847,-0.0046419073163492235
2023-02-13,0.018632244277163222,0.00042288308666734993
2023-02-14,-0.004234035339471033,0.0007395748814429192
2023-02-15,0.013807629975741066,0.02358950677581842
2023-02-16,-0.010484243111741086,-0.014861346598190479
2023-02-17,-0.007575122411677878,-0.01221967712795406
2023-02-21,-0.027042299554237734,-0.027507851905505386
2023-02-22,0.0028919183526420525,-0.0015263207574188634
2023-02-23,0.003285173353143538,-0.008327096114338623
2023-02-24,-0.018169346084672324,-0.019554000281961113
2023-02-27,0.008213753864591895,0.008268223395473579
2023-02-28,-0.0034539067770190932,0.002111917546897935
2023-03-01,-0.014348584025090488,0.0033256191166097337
